Date,Poll,QuestionNum,QuestionWord,Region,N,SurveyMethod,Likely.vs.All,Ease,Grade,National,Geo,SurveyNum,Topic
2/5/16,Quinnipiac University,1,"If the Republican primary for President were being held today, and the candidates were Jeb Bush, Ben Carson, Chris Christie, Ted Cruz, Carly Fiorina, Jim Gilmore, John Kasich, Marco Rubio, and Donald Trump, for whom would you vote?",US,1125,Phone,Registered,34.69,17.86,1,National,1,6
2/5/16,Quinnipiac University,2,"Is your mind made up, or do you think you might change your mind before the primary?",US,1125,Phone,Registered,90.05,4.92,1,National,1,2
2/5/16,Quinnipiac University,3,"Are there any of these candidates you would definitely not support for the Republican nomination for president: Bush, Carson, Christie, Cruz, Fiorina, Gilmore, Kasich, Rubio, or Trump?",US,1125,Phone,Registered,36.47,11.53,1,National,1,6
2/5/16,Quinnipiac University,4,"If the Democratic primary for President were being held today, and the candidates were Hillary Clinton and Bernie Sanders, for whom would you vote?",US,1125,Phone,Registered,41.48,13.44,1,National,1,6
2/5/16,Quinnipiac University,5,"Is your mind made up, or do you think you might change your mind before the primary?",US,1125,Phone,Registered,90.05,4.92,1,National,1,2
2/5/16,Quinnipiac University,6,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?",US,1125,Phone,Registered,38.43,14.61,1,National,1,6
2/5/16,Quinnipiac University,7,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Ted Cruz the Republican, for whom would you vote?",US,1125,Phone,Registered,41.56,14.17,1,National,1,6
2/5/16,Quinnipiac University,8,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Marco Rubio the Republican, for whom would you vote?",US,1125,Phone,Registered,35.3,15.04,1,National,1,6
2/5/16,Quinnipiac University,9,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Donald Trump the Republican, for whom would you vote?",US,1125,Phone,Registered,44.7,13.73,1,National,1,6
2/5/16,Quinnipiac University,10,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Ted Cruz the Republican, for whom would you vote?",US,1125,Phone,Registered,47.83,13.3,1,National,1,6
2/5/16,Quinnipiac University,11,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Marco Rubio the Republican, for whom would you vote?",US,1125,Phone,Registered,41.56,14.17,1,National,1,6
2/5/16,Quinnipiac University,12,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat, Donald Trump the Republican, and Michael Bloomberg running as an independent, for whom would you vote?",US,1125,Phone,Registered,32.34,16.95,1,National,1,6
2/5/16,Quinnipiac University,13,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat, Ted Cruz the Republican, and Michael Bloomberg running as an independent, for whom would you vote?",US,1125,Phone,Registered,34.9,16.59,1,National,1,6
2/5/16,Quinnipiac University,14,"Is your opinion of Hillary Clinton favorable, unfavorable or haven't you heard enough about her?",US,1125,Phone,Registered,47.83,10.56,1,National,1,7
2/5/16,Quinnipiac University,15,"Is your opinion of Donald Trump favorable, unfavorable or haven't you heard enough about him?",US,1125,Phone,Registered,58.41,9.09,1,National,1,7
2/5/16,Quinnipiac University,16,"Is your opinion of Ted Cruz favorable, unfavorable or haven't you heard enough about him?",US,1125,Phone,Registered,63.7,8.35,1,National,1,7
2/5/16,Quinnipiac University,17,"Is your opinion of Marco Rubio favorable, unfavorable or haven't you heard enough about him?",US,1125,Phone,Registered,53.12,9.82,1,National,1,7
2/5/16,Quinnipiac University,18,"Is your opinion of Bernie Sanders favorable, unfavorable or haven't you heard enough about him?",US,1125,Phone,Registered,58.41,9.09,1,National,1,7
2/5/16,Quinnipiac University,19,"Is your opinion of Michael Bloomberg favorable, unfavorable or haven't you heard enough about him?",US,1125,Phone,Registered,53.12,9.82,1,National,1,7
2/17/16,Quinnipiac University,1,"If the Republican primary for President were being held today, and the candidates were Jeb Bush, Ben Carson, Ted Cruz, John Kasich, Marco Rubio, and Donald Trump, for whom would you vote?",US,1342,Phone,Registered,44.81,14.96,1,National,2,6
2/17/16,Quinnipiac University,2,"Is your mind made up, or do you think you might change your mind before the primary?",US,1342,Phone,Registered,90.05,4.92,1,National,2,2
2/17/16,Quinnipiac University,3,"Are there any of these candidates you would definitely not support for the Republican nomination for president: Bush, Carson, Cruz, Kasich, Rubio, or Trump?",US,1342,Phone,Registered,43.08,10.23,1,National,2,6
2/17/16,Quinnipiac University,4,"If the Democratic primary for President were being held today, and the candidates were Hillary Clinton and Bernie Sanders, for whom would you vote?",US,1342,Phone,Registered,41.48,13.44,1,National,2,6
2/17/16,Quinnipiac University,5,"Is your mind made up, or do you think you might change your mind before the primary?",US,1342,Phone,Registered,90.05,4.92,1,National,2,2
2/17/16,Quinnipiac University,6,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?",US,1342,Phone,Registered,38.43,14.61,1,National,2,6
